WOS_number,doc_type,authors,title,source,doi,publication_year,author_keywords,email
WOS:000579494900038,J,"Nageli, C; Jakob, M; Catenazzi, G; Ostermeyer, Y",Policies to decarbonize the Swiss residential building stock: An agent-based building stock modeling assessment,ENERGY POLICY,10.1016/j.enpol.2020.111814,2020,Climate policy; Scenario assessment; Building stock modeling; Bottom-up model; Agent-based modeling,
WOS:000570238600001,J,"Paardekooper, S; Lund, H; Chang, M; Nielsen, S; Moreno, D; Thellufsen, JZ",Heat Roadmap Chile: A national district heating plan for air pollution decontamination and decarbonisation,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.122744,2020,Air pollution; District heating; Efficient combustion; Energy system analysis; Smart energy systems,
WOS:000573900000008,J,"Liu, MZ; Chen, XH; Zhang, MY; Lv, XQ; Wang, HH; Chen, ZZ; Huang, XR; Zhang, XX; Zhang, SR",End-of-life passenger vehicles recycling decision system in China based on dynamic material flow analysis and life cycle assessment,WASTE MANAGEMENT,10.1016/j.wasman.2020.08.002,2020,End-of-life passenger vehicles; Metal recycling; Dynamic material flow analysis; Life cycle assessment,
WOS:000573208400004,J,"Wang, HH; Cao, RX; Zeng, WH",Multi-agent based and system dynamics models integrated simulation of urban commuting relevant carbon dioxide emission reduction policy in China,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.122620,2020,Carbon dioxide emissions; Intelligent simulation; Jobs-housing balance; Beijing,
WOS:000564616700011,J,"Jackson, T; Victor, PA",The Transition to a Sustainable Prosperity-A Stock-Flow-Consistent Ecological Macroeconomic Model for Canada,ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2020.106787,2020,Ecological macroeconomics; Post-growth economics; Degrowth; System dynamics; Canadian economy,
MEDLINE:32412852,J,"Craig, Kenneth; Erdakos, Garnet; Chang, Shih Ying; Baringer, Lynn","Air quality and source apportionment modeling of year 2017 ozone episodes in Albuquerque/Bernalillo County, New Mexico.",Journal of the Air & Waste Management Association (1995),10.1080/10962247.2020.1764879,2020,,
MEDLINE:33114610,J,"Li, Liang; Msaad, Hajar; Sun, Huaping; Tan, Mei Xuen; Lu, Yeqing; Lau, Antonio K W",Green Innovation and Business Sustainability: New Evidence from Energy Intensive Industry in China.,International journal of environmental research and public health,10.3390/ijerph17217826,2020,,
MEDLINE:33105076,J,"Ryan, Nicole A; Miller, Shelie A; Skerlos, Steven J; Cooper, Daniel R",Reducing CO2 Emissions from U.S. Steel Consumption by 70% by 2050.,Environmental science & technology,10.1021/acs.est.0c04321,2020,,
WOS:000580642100001,J,"McDowell, RW; Pletnyakov, P; Lim, A; Salmon, G",Implications of water quality policy on land use: a case study of the approach in New Zealand,MARINE AND FRESHWATER RESEARCH,10.1071/MF20201,2020,,
WOS:000573625900017,J,"Nie, YY; Tian, H; Zhang, P; Wang, EC; Zhang, TY; Guo, QX",A Study of the Stability of China's Carbon Dioxide Emissions,EMERGING MARKETS FINANCE AND TRADE,10.1080/1540496X.2018.1564657,2020,carbon dioxide emission; convergence; quantile unit root; stability,
WOS:000568784300018,J,"Adelodun, B; Choi, KS",Impact of food wastage on water resources and GHG emissions in Korea: A trend-based prediction modeling study,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.122562,2020,Food wastage; Water footprint; GHG emission; Korea; Trend analysis; Prediction modeling,
MEDLINE:32959651,J,"Wang, Xu; Purohit, Pallav; Hoglund-Isaksson, Lena; Zhang, Shaohui; Fang, Hong",Co-benefits of Energy-Efficient Air Conditioners in the Residential Building Sector of China.,Environmental science & technology,10.1021/acs.est.0c01629,2020,,
MEDLINE:33158529,J,"Liu, Jia; Bai, Jinyu; Deng, Yi; Chen, Xiaohong; Liu, Xiang",Impact of energy structure on carbon emission and economy of China in the scenario of carbon taxation.,The Science of the total environment,10.1016/j.scitotenv.2020.143093,2020,,
WOS:000582056600018,J,"Hultman, NE; Clarke, L; Frisch, C; Kennedy, K; McJeon, H; Cyrs, T; Hansel, P; Bodnar, P; Manion, M; Edwards, MR; Cui, RN; Bowman, C; Lund, J; Westphal, MI; Clapper, A; Jaeger, J; Sen, A; Lou, JH; Saha, D; Jaglom, W; Calhoun, K; Igusky, K; deWeese, J; Hammoud, K; Altimirano, JC; Dennis, M; Henderson, C; Zwicker, G; O'Neill, J",Fusing subnational with national climate action is central to decarbonization: the case of the United States,NATURE COMMUNICATIONS,10.1038/s41467-020-18903-w,2020,,
WOS:000578991500001,J,"Rajapaksha, RPSK; Karunaratne, SB; Biswas, A; Paul, K; Madawala, HMSP; Gunathilake, SK; Ratnayake, RR",Identifying the spatial drivers and scale-specific variations of soil organic carbon in tropical ecosystems: A case study from Knuckles Forest Reserve in Sri Lanka,FOREST ECOLOGY AND MANAGEMENT,10.1016/j.foreco.2020.118285,2020,Soil carbon sequestration; Soil carbon stocks; Tropical forests; Digital soil mapping; Scale specific variation,
MEDLINE:33060579,J,"He, Xin; Ou, Shiqi; Gan, Yu; Lu, Zifeng; Przesmitzki, Steven Victor; Bouchard, Jessey Lee; Sui, Lang; Amer, Amer Ahmad; Lin, Zhenhong; Yu, Rujie; Zhou, Yan; Wang, Michael",Greenhouse gas consequences of the China dual credit policy.,Nature communications,10.1038/s41467-020-19036-w,2020,,
WOS:000571210200011,J,"Li, XY",Design of energy-conservation and emission-reduction plans of China's industry: Evidence from three typical industries,ENERGY,10.1016/j.energy.2020.118358,2020,Energy-conservation and emission-reduction; Energy rebound effect; The industry; Implementation plan; Environmental policy,
WOS:000571210200001,J,"Viesi, D; Crema, L; Mahbub, MS; Verones, S; Brunelli, R; Baggio, P; Fauri, M; Prada, A; Bello, A; Nodari, B; Silvestri, S; Tomasi, L",Integrated and dynamic energy modelling of a regional system: A cost-optimized approach in the deep decarbonisation of the Province of Trento (Italy),ENERGY,10.1016/j.energy.2020.118378,2020,Integrated energy system modelling; Multi-objective evolutionary algorithms; Sector coupling; Renewable energy; Low-carbon economy,
WOS:000562956600012,J,"Kakarla, SG; Bhimala, KR; Kadiri, MR; Kumaraswamy, S; Mutheneni, SR",Dengue situation in India: Suitability and transmission potential model for present and projected climate change scenarios,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.140336,2020,Dengue; India; Reproductive rate; Rainfall; Temperature; RCP4.5 & RCP8.5,
WOS:000577237800002,J,"Telli, A; Erat, S; Demir, B","Comparison of energy transition of Turkey and Germany: energy policy, strengths/weaknesses and targets",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,10.1007/s10098-020-01950-8,2020,Turkey; Germany; Energy policy; Renewable energy; Solar energy,
MEDLINE:33059163,J,"Michel Devadoss, P S; Agamuthu, P; Mehran, S B; Santha, C; Fauziah, S H",Implications of municipal solid waste management on greenhouse gas emissions in Malaysia and the way forward.,"Waste management (New York, N.Y.)",10.1016/j.wasman.2020.09.038,2020,,
MEDLINE:32856906,J,"Peng, Wei; Dai, Hancheng; Guo, Hao; Purohit, Pallav; Urpelainen, Johannes; Wagner, Fabian; Wu, Yazhen; Zhang, Hongliang","The Critical Role of Policy Enforcement in Achieving Health, Air Quality, and Climate Benefits from India's Clean Electricity Transition.",Environmental science & technology,10.1021/acs.est.0c01622,2020,,
WOS:000574742100001,J,"Koberle, AC; Rochedo, PRR; Lucena, AFP; Szklo, A; Schaeffer, R",Brazil's emission trajectories in a well-below 2 degrees C world: the role of disruptive technologies versus land-based mitigation in an already low-emission energy system,CLIMATIC CHANGE,10.1007/s10584-020-02856-6,2020,Brazil emissions; Climate mitigation; Bioenergy and biofuels; Low-carbon transition; Mitigation scenarios; Integrated assessment model,
WOS:000579443800022,J,"Nieto, J; Carpintero, O; Lobejon, LF; Miguel, LJ",An ecological macroeconomics model: The energy transition in the EU,ENERGY POLICY,10.1016/j.enpol.2020.111726,2020,Integrated assessment model; Ecological macroeconomics; Energy transitions; Input-output analysis; Energy roadmap 2050,
WOS:000579443800007,J,"Velez-Henao, JA; Garcia-Mazo, CM; Freire-Gonzalez, J; Vivanco, DF",Environmental rebound effect of energy efficiency improvements in Colombian households,ENERGY POLICY,10.1016/j.enpol.2020.111697,2020,Environmental rebound effect; Non-conventional renewable resources; Wind power; Households; Backfire effect,
WOS:000579293400001,J,"van Emmerik, T; Roebroek, C; de Winter, W; Vriend, P; Boonstra, M; Hougee, M",Riverbank macrolitter in the Dutch Rhine-Meuse delta,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/abb2c6,2020,macroplastic; plastic pollution; hydrology; river plastic; OSPAR; observations; monitoring,
WOS:000577143400009,J,"da Silva, CA; Teodoro, PE; Delgado, RC; Teodoro, LPR; Lima, M; Pantaleao, AD; Baio, FHR; de Azevedo, GB; Azevedo, GTDS; Capristo-Silva, GF; Arvor, D; Facco, CU",Persistent fire foci in all biomes undermine the Paris Agreement in Brazil,SCIENTIFIC REPORTS,10.1038/s41598-020-72571-w,2020,,
WOS:000576963000004,J,"Kang, JN; Wei, YM; Liu, LC; Han, R; Chen, H; Li, JQ; Wang, JW; Yu, BY",The Prospects of Carbon Capture and Storage in China's Power Sector under the 2 degrees C Target: A Component-based Learning Curve Approach,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,10.1016/j.ijggc.2020.103149,2020,Carbon capture and storage; Component-based learning curve; Technological progress; China's thermal power sector,
WOS:000576819800001,J,"Smyth, CE; Xu, Z; Lempriere, TC; Kurz, WA","Climate change mitigation in British Columbia's forest sector: GHG reductions, costs, and environmental impacts",CARBON BALANCE AND MANAGEMENT,10.1186/s13021-020-00155-2,2020,Climate change mitigation; Forest sector; British Columbia; Cost per tonne; Socio-economic impact; GCBM,
WOS:000576430500001,J,"Xie, Y; Wu, YZ; Xie, MJ; Li, BD; Zhang, H; Ma, T; Zhang, YQ",Health and economic benefit of China's greenhouse gas mitigation by 2050,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/aba97b,2020,climate mitigation; air pollution; health impact; economic impact; IMED model,
WOS:000576430000001,J,"Zhang, YX; Zheng, XZ; Cai, WJ; Liu, Y; Luo, HL; Guo, KD; Bu, CJ; Li, J; Wang, C",Key drivers of the rebound trend of China's CO(2)emissions,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/aba1bf,2020,CO(2)emission; rebound; SDA; infrastructure investment; economic transformation,
WOS:000574364700001,J,"Erat, S; Telli, A; Ozkendir, OM; Demir, B","Turkey's energy transition from fossil-based to renewable up to 2030: milestones, challenges and opportunities",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,10.1007/s10098-020-01949-1,2020,Turkey; Energy policy; Renewable energy; Solar energy; CO2 emission,
WOS:000573656500001,J,"Anser, MK; Yousaf, Z; Nassani, AA; Vo, XV; Zaman, K",Evaluating 'natural resource curse' hypothesis under sustainable information technologies: A case study of Saudi Arabia,RESOURCES POLICY,10.1016/j.resourpol.2020.101699,2020,Technology factors; Natural resource market; Carbon emissions; Fossil fuel combustion; Carbon pricing; Saudi's vision 2030,
WOS:000571218200029,J,"Schmidt, M; Crawford, RH; Warren-Myers, G",Quantifying Australia's life cycle greenhouse gas emissions for new homes,ENERGY AND BUILDINGS,10.1016/j.enbuild.2020.110287,2020,Australia; Life cycle analysis; Greenhouse gas emissions; Housing,
WOS:000570251000016,J,"Mitchell, R; Natarajan, S",UK Passivhaus and the energy performance gap,ENERGY AND BUILDINGS,10.1016/j.enbuild.2020.110240,2020,,
WOS:000566971400019,J,"Heidari, M; Sayfouri, N; Miresmaeeli, SS; Nasiri, A","Analysis of the Man-Made Causes of Shiraz Flash Flood: Iran, 2019",PREHOSPITAL AND DISASTER MEDICINE,10.1017/S1049023X20000795,2020,disaster risk reduction; flash flood; mitigation; natural disasters; risk perception,
WOS:000565624800003,J,"Howard, DB; Soria, R; The, J; Schaeffer, R; Saphores, JD",The energy-climate-health nexus in energy planning: A case study in Brazil,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110016,2020,Renewable energy system; Social cost of carbon; Energy planning; Deep decarbonization; Health impact assessment; Sustainable development goals; Paris agreement,
WOS:000565624800002,J,"Li, JL; Huang, JS",The expansion of China's solar energy: Challenges and policy options,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110002,2020,Solar energy; Curtailment and mismatch; Price and subsidy; Policy options,
WOS:000565629400003,J,"Liu, LB; Wang, Z; Wang, Y; Wang, J; Chang, R; He, G; Tang, WJ; Gao, ZQ; Li, JT; Liu, CY; Zhao, L; Qin, DH; Li, SC",Optimizing wind/solar combinations at finer scales to mitigate renewable energy variability in China,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110151,2020,Wind energy; Solar energy; Energy stability; Install ratio; Spatial aggregation; China,
